Title,Video ID,Duration,Views,Published At,duration_readable,duration_min,duration_minutes,months_since_release,views_por_mes
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 14",KlOIv-CozEA,PT7M14S,556,2021-02-13 17:59:17+00:00,7:14,7.233333333333333,0,56,10
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 13",RFr-S7Pw8is,PT14M53S,707,2021-02-13 17:53:03+00:00,14:53,14.883333333333333,0,56,13
Integrais duplas em regiões mais gerais | Exercícios resolvidos,cS4TWV7uBxY,PT55S,911,2021-02-13 12:31:32+00:00,0:55,0.9166666666666666,0,56,16
Integrais duplas sobre retângulos| Exercícios,GmjSzTtZStI,PT1M9S,1852,2021-02-13 11:48:06+00:00,1:09,1.15,0,56,33
"Integral dupla | volume entre cilindros | Lista 2, exercício 12",7uLadr2IbPc,PT11M54S,1760,2021-02-12 16:21:06+00:00,11:54,11.9,0,56,31
"Integral dupla com coordenadas polares | Lista 3, exercício 3",-z2CFrYbgXQ,PT11M43S,516,2021-02-12 16:15:09+00:00,11:43,11.716666666666669,0,56,9
"Integral dupla com coordenadas polares | Lista 3, exercício 1",Vn2DWAS6DBw,PT11M54S,623,2021-02-11 21:30:21+00:00,11:54,11.9,0,56,11
"Integral dupla em regiões gerais | Lista 2, exercício 9",te1ZQ4vcLlA,PT9M49S,954,2021-02-11 21:27:40+00:00,9:49,9.816666666666666,0,56,17
"Integral dupla sobre regiões mais gerais | Lista 2, exercício 5",dNwITVg8hZ0,PT6M33S,962,2021-02-11 21:29:07+00:00,6:33,6.55,0,56,17
"Integral dupla em retângulos | Lista 1, exercício 12",b70xAHNnhZg,PT7M28S,1466,2021-02-11 21:26:15+00:00,7:28,7.466666666666667,0,56,26
"Integral dupla em retângulos | Lista 1, exercício 5",juQFTx8L7lY,PT4M38S,1933,2021-02-11 21:25:50+00:00,4:38,4.633333333333334,0,56,35
Integral de Poisson,Q-wu-JEglSo,PT11M33S,1057,2021-02-11 10:06:47+00:00,11:33,11.55,0,56,19
